      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300  10.000   0.000   -7.662e-05    2.929e-07   -2.899e-05    1.004e-07    0
 10.000   0.300  15.000   0.000   -7.707e-05    2.793e-07   -2.905e-05    9.861e-08    0
 10.000   0.300   2.000   0.000   -5.952e-05    3.704e-07   -2.524e-05    1.111e-07    0
 10.000   0.300  20.000   0.000   -7.726e-05    2.752e-07   -2.907e-05    9.807e-08    0
 10.000   0.300   3.000   0.000   -6.825e-05    3.645e-07   -2.753e-05    1.064e-07    0
 10.000   0.300   5.000   0.000   -7.407e-05    3.527e-07   -2.864e-05    1.083e-07    0
 10.000   0.400  10.000   0.000   -7.565e-05    2.904e-07   -2.865e-05    9.927e-08    0
 10.000   0.400  15.000   0.000   -7.611e-05    2.757e-07   -2.870e-05    9.752e-08    0
 10.000   0.400   2.000   0.000   -5.881e-05    3.664e-07   -2.496e-05    1.098e-07    0
 10.000   0.400  20.000   0.000   -7.624e-05    2.704e-07   -2.872e-05    9.687e-08    0
 10.000   0.400   3.000   0.000   -6.743e-05    3.606e-07   -2.721e-05    1.051e-07    0
 10.000   0.400   5.000   0.000   -7.314e-05    3.489e-07   -2.830e-05    1.070e-07    0
 12.500   0.300  10.000   0.000   -3.237e-05    1.278e-07   -1.020e-05    3.356e-08    0
 12.500   0.300  15.000   0.000   -3.271e-05    1.173e-07   -1.023e-05    3.235e-08    0
 12.500   0.300   2.000   0.000   -2.233e-05    1.303e-07   -8.124e-06    3.089e-08    0
 12.500   0.300  20.000   0.000   -3.285e-05    1.134e-07   -1.025e-05    3.198e-08    0
 12.500   0.300   3.000   0.000   -2.693e-05    1.716e-07   -9.277e-06    4.047e-08    0
 12.500   0.300   5.000   0.000   -3.055e-05    1.566e-07   -9.955e-06    3.669e-08    0
 12.500   0.400  10.000   0.000   -3.194e-05    1.264e-07   -1.007e-05    3.314e-08    0
 12.500   0.400  15.000   0.000   -3.228e-05    1.163e-07   -1.011e-05    3.196e-08    0
 12.500   0.400   2.000   0.000   -2.206e-05    1.288e-07   -8.028e-06    3.050e-08    0
 12.500   0.400  20.000   0.000   -3.238e-05    1.122e-07   -1.012e-05    3.153e-08    0
 12.500   0.400   3.000   0.000   -2.660e-05    1.695e-07   -9.166e-06    3.994e-08    0
 12.500   0.400   5.000   0.000   -3.015e-05    1.547e-07   -9.831e-06    3.620e-08    0
 15.000   0.300  10.000   0.000   -1.563e-05    8.025e-08   -4.224e-06    1.708e-08    0
 15.000   0.300  15.000   0.000   -1.588e-05    7.257e-08   -4.250e-06    1.628e-08    0
 15.000   0.300   2.000   0.000   -9.528e-06    5.138e-08   -3.047e-06    1.045e-08    0
 15.000   0.300  20.000   0.000   -1.598e-05    6.979e-08   -4.261e-06    1.603e-08    0
 15.000   0.300   3.000   0.000   -1.202e-05    7.377e-08   -3.641e-06    1.441e-08    0
 15.000   0.300   5.000   0.000   -1.431e-05    9.120e-08   -4.056e-06    1.791e-08    0
 15.000   0.400  10.000   0.000   -1.541e-05    7.936e-08   -4.168e-06    1.685e-08    0
 15.000   0.400  15.000   0.000   -1.566e-05    7.177e-08   -4.195e-06    1.606e-08    0
 15.000   0.400   2.000   0.000   -9.407e-06    5.088e-08   -3.010e-06    1.034e-08    0
 15.000   0.400  20.000   0.000   -1.575e-05    6.886e-08   -4.202e-06    1.579e-08    0
 15.000   0.400   3.000   0.000   -1.187e-05    7.297e-08   -3.596e-06    1.421e-08    0
 15.000   0.400   5.000   0.000   -1.412e-05    9.006e-08   -4.003e-06    1.766e-08    0
 17.500   0.300  10.000   0.000   -8.300e-06    4.491e-08   -1.970e-06    7.963e-09    0
 17.500   0.300  15.000   0.000   -8.503e-06    3.943e-08   -1.989e-06    7.469e-09    0
 17.500   0.300   2.000   0.000   -4.478e-06    2.480e-08   -1.280e-06    4.994e-09    0
 17.500   0.300  20.000   0.000   -8.583e-06    3.727e-08   -1.997e-06    7.281e-09    0
 17.500   0.300   3.000   0.000   -5.876e-06    3.428e-08   -1.594e-06    5.808e-09    0
 17.500   0.300   5.000   0.000   -7.341e-06    4.743e-08   -1.852e-06    7.901e-09    0
 17.500   0.400  10.000   0.000   -8.180e-06    4.424e-08   -1.943e-06    7.848e-09    0
 17.500   0.400  15.000   0.000   -8.383e-06    3.896e-08   -1.963e-06    7.369e-09    0
 17.500   0.400   2.000   0.000   -4.419e-06    2.448e-08   -1.263e-06    4.938e-09    0
 17.500   0.400  20.000   0.000   -8.448e-06    3.685e-08   -1.968e-06    7.163e-09    0
 17.500   0.400   3.000   0.000   -5.800e-06    3.385e-08   -1.574e-06    5.740e-09    0
 17.500   0.400   5.000   0.000   -7.239e-06    4.670e-08   -1.827e-06    7.784e-09    0
 20.000   0.300  10.000   0.000   -4.739e-06    2.694e-08   -1.005e-06    4.104e-09    0
 20.000   0.300  15.000   0.000   -4.900e-06    2.348e-08   -1.019e-06    3.816e-09    0
 20.000   0.300   2.000   0.000   -2.270e-06    1.174e-08   -5.871e-07    2.231e-09    0
 20.000   0.300  20.000   0.000   -4.964e-06    2.176e-08   -1.025e-06    3.672e-09    0
 20.000   0.300   3.000   0.000   -3.081e-06    1.695e-08   -7.587e-07    2.746e-09    0
 20.000   0.300   5.000   0.000   -4.032e-06    2.583e-08   -9.200e-07    3.759e-09    0
 20.000   0.400  10.000   0.000   -4.669e-06    2.656e-08   -9.907e-07    4.042e-09    0
 20.000   0.400  15.000   0.000   -4.829e-06    2.317e-08   -1.005e-06    3.762e-09    0
 20.000   0.400   2.000   0.000   -2.240e-06    1.161e-08   -5.795e-07    2.205e-09    0
 20.000   0.400  20.000   0.000   -4.883e-06    2.143e-08   -1.009e-06    3.610e-09    0
 20.000   0.400   3.000   0.000   -3.041e-06    1.674e-08   -7.489e-07    2.712e-09    0
 20.000   0.400   5.000   0.000   -3.975e-06    2.550e-08   -9.074e-07    3.702e-09    0
 22.500   0.300  10.000   0.000   -2.863e-06    1.703e-08   -5.497e-07    2.277e-09    0
 22.500   0.300  15.000   0.000   -2.992e-06    1.494e-08   -5.608e-07    2.117e-09    0
 22.500   0.300   2.000   0.000   -1.223e-06    5.946e-09   -2.892e-07    1.068e-09    0
 22.500   0.300  20.000   0.000   -3.043e-06    1.355e-08   -5.650e-07    2.015e-09    0
 22.500   0.300   3.000   0.000   -1.709e-06    9.761e-09   -3.859e-07    1.590e-09    0
 22.500   0.300   5.000   0.000   -2.336e-06    1.467e-08   -4.883e-07    1.895e-09    0
 22.500   0.400  10.000   0.000   -2.819e-06    1.679e-08   -5.417e-07    2.241e-09    0
 22.500   0.400  15.000   0.000   -2.948e-06    1.470e-08   -5.528e-07    2.086e-09    0
 22.500   0.400   2.000   0.000   -1.207e-06    5.870e-09   -2.854e-07    1.055e-09    0
 22.500   0.400  20.000   0.000   -2.993e-06    1.334e-08   -5.561e-07    1.981e-09    0
 22.500   0.400   3.000   0.000   -1.686e-06    9.661e-09   -3.809e-07    1.571e-09    0
 22.500   0.400   5.000   0.000   -2.303e-06    1.449e-08   -4.815e-07    1.866e-09    0
 25.000   0.300  10.000   0.000   -1.809e-06    1.116e-08   -3.181e-07    1.334e-09    0
 25.000   0.300  15.000   0.000   -1.914e-06    9.963e-09   -3.267e-07    1.254e-09    0
 25.000   0.300   2.000   0.000   -6.933e-07    6.594e-09   -1.510e-07    5.172e-10    0
 25.000   0.300  20.000   0.000   -1.956e-06    8.931e-09   -3.299e-07    1.183e-09    0
 25.000   0.300   3.000   0.000   -9.934e-07    5.406e-09   -2.074e-07    8.400e-10    0
 25.000   0.300   5.000   0.000   -1.414e-06    8.629e-09   -2.733e-07    1.049e-09    0
 25.000   0.400  10.000   0.000   -1.781e-06    1.102e-08   -3.134e-07    1.313e-09    0
 25.000   0.400  15.000   0.000   -1.885e-06    9.821e-09   -3.220e-07    1.235e-09    0
 25.000   0.400   2.000   0.000   -6.838e-07    6.484e-09   -1.490e-07    5.070e-10    0
 25.000   0.400  20.000   0.000   -1.922e-06    8.801e-09   -3.246e-07    1.163e-09    0
 25.000   0.400   3.000   0.000   -9.800e-07    5.321e-09   -2.046e-07    8.292e-10    0
 25.000   0.400   5.000   0.000   -1.394e-06    8.528e-09   -2.694e-07    1.035e-09    0
 27.500   0.300  10.000   0.000   -1.186e-06    7.573e-09   -1.927e-07    8.147e-10    0
 27.500   0.300  15.000   0.000   -1.272e-06    6.945e-09   -1.995e-07    7.814e-10    0
 27.500   0.300   2.000   0.000   -4.107e-07    3.619e-09   -8.291e-08    2.346e-10    0
 27.500   0.300  20.000   0.000   -1.306e-06    6.177e-09   -2.020e-07    7.335e-10    0
 27.500   0.300   3.000   0.000   -6.007e-07    3.100e-09   -1.166e-07    4.630e-10    0
 27.500   0.300   5.000   0.000   -8.872e-07    5.725e-09   -1.597e-07    7.044e-10    0
 27.500   0.400  10.000   0.000   -1.167e-06    7.429e-09   -1.898e-07    8.015e-10    0
 27.500   0.400  15.000   0.000   -1.252e-06    6.790e-09   -1.966e-07    7.692e-10    0
 27.500   0.400   2.000   0.000   -4.050e-07    3.528e-09   -8.178e-08    2.296e-10    0
 27.500   0.400  20.000   0.000   -1.283e-06    6.061e-09   -1.987e-07    7.208e-10    0
 27.500   0.400   3.000   0.000   -5.925e-07    3.042e-09   -1.150e-07    4.570e-10    0
 27.500   0.400   5.000   0.000   -8.744e-07    5.643e-09   -1.575e-07    6.947e-10    0
