      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 10.000   0.300  10.000 300.000   -1.460e-04    2.456e-14   -4.205e-05    0.000e+00    0
 10.000   0.300  15.000 300.000   -1.511e-04    2.845e-14   -4.266e-05    0.000e+00    0
 10.000   0.300   2.000 300.000   -9.295e-05    1.562e-14   -3.234e-05    0.000e+00    0
 10.000   0.300  20.000 300.000   -1.536e-04    1.097e-14   -4.295e-05    0.000e+00    0
 10.000   0.300   3.000 300.000   -1.113e-04    1.108e-14   -3.650e-05    0.000e+00    0
 10.000   0.300   5.000 300.000   -1.303e-04    2.726e-14   -3.987e-05    0.000e+00    0
 10.000   0.400  10.000 300.000   -1.439e-04    2.168e-14   -4.147e-05    0.000e+00    0
 10.000   0.400  15.000 300.000   -1.489e-04    2.358e-14   -4.208e-05    0.000e+00    0
 10.000   0.400   2.000 300.000   -9.172e-05    1.549e-14   -3.192e-05    0.000e+00    0
 10.000   0.400  20.000 300.000   -1.512e-04    1.415e-14   -4.235e-05    0.000e+00    0
 10.000   0.400   3.000 300.000   -1.098e-04    9.688e-15   -3.603e-05    0.000e+00    0
 10.000   0.400   5.000 300.000   -1.284e-04    1.735e-14   -3.933e-05    0.000e+00    0
 12.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300  10.000 300.000   -7.547e-05    4.539e-15   -1.834e-05    2.372e-20    0
 12.500   0.300  15.000 300.000   -7.928e-05    3.007e-14   -1.876e-05    2.372e-20    0
 12.500   0.300   2.000 300.000   -4.138e-05    2.095e-15   -1.250e-05    2.541e-20    0
 12.500   0.300  20.000 300.000   -8.116e-05    4.204e-15   -1.895e-05    2.372e-20    0
 12.500   0.300   3.000 300.000   -5.193e-05    1.818e-15   -1.478e-05    2.541e-20    0
 12.500   0.300   5.000 300.000   -6.419e-05    2.328e-14   -1.688e-05    2.372e-20    0
