      L    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300   -7.784e-05    2.846e-07   -2.920e-05    9.659e-08    0
 10.000   0.400   -7.686e-05    2.789e-07   -2.886e-05    9.552e-08    0
 10.000   0.500   -7.596e-05    2.752e-07   -2.853e-05    9.432e-08    0
 12.500   0.300   -3.318e-05    1.103e-07   -1.032e-05    3.158e-08    0
 12.500   0.400   -3.274e-05    1.095e-07   -1.019e-05    3.120e-08    0
 12.500   0.500   -3.235e-05    1.080e-07   -1.008e-05    3.079e-08    0
 15.000   0.300   -1.618e-05    6.926e-08   -4.303e-06    1.599e-08    0
 15.000   0.400   -1.595e-05    6.849e-08   -4.247e-06    1.578e-08    0
 15.000   0.500   -1.576e-05    6.760e-08   -4.196e-06    1.557e-08    0
 17.500   0.300   -8.693e-06    3.743e-08   -2.022e-06    7.315e-09    0
 17.500   0.400   -8.569e-06    3.713e-08   -1.994e-06    7.213e-09    0
 17.500   0.500   -8.462e-06    3.662e-08   -1.970e-06    7.116e-09    0
  1.000   0.300   -7.064e-02    3.182e-04   -1.653e-01    4.706e-04    0
  1.000   0.400   -6.954e-02    3.158e-04   -1.619e-01    4.669e-04    0
  1.000   0.500   -6.836e-02    3.124e-04   -1.581e-01    4.615e-04    0
  2.500   0.300   -6.995e-03    5.403e-05   -7.702e-03    1.617e-05    0
  2.500   0.400   -6.922e-03    5.348e-05   -7.617e-03    1.609e-05    0
  2.500   0.500   -6.843e-03    5.289e-05   -7.526e-03    1.594e-05    0
 20.000   0.300   -5.026e-06    2.197e-08   -1.040e-06    3.703e-09    0
 20.000   0.400   -4.952e-06    2.176e-08   -1.025e-06    3.650e-09    0
 20.000   0.500   -4.889e-06    2.146e-08   -1.012e-06    3.600e-09    0
 22.500   0.300   -3.077e-06    1.366e-08   -5.739e-07    2.022e-09    0
 22.500   0.400   -3.031e-06    1.349e-08   -5.657e-07    1.992e-09    0
 22.500   0.500   -2.992e-06    1.331e-08   -5.586e-07    1.965e-09    0
 25.000   0.300   -1.972e-06    8.844e-09   -3.354e-07    1.170e-09    0
 25.000   0.400   -1.941e-06    8.726e-09   -3.304e-07    1.152e-09    0
 25.000   0.500   -1.916e-06    8.595e-09   -3.263e-07    1.136e-09    0
 27.500   0.300   -1.311e-06    5.887e-09   -2.053e-07    7.075e-10    0
 27.500   0.400   -1.291e-06    5.834e-09   -2.022e-07    6.967e-10    0
 27.500   0.500   -1.274e-06    5.744e-09   -1.996e-07    6.870e-10    0
 30.000   0.300   -8.997e-07    4.008e-09   -1.307e-07    4.437e-10    0
 30.000   0.400   -8.854e-07    4.003e-09   -1.287e-07    4.368e-10    0
 30.000   0.500   -8.738e-07    3.937e-09   -1.270e-07    4.308e-10    0
  5.000   0.300   -8.828e-04    3.164e-06   -5.725e-04    1.697e-06    0
  5.000   0.400   -8.733e-04    3.109e-06   -5.666e-04    1.687e-06    0
  5.000   0.500   -8.637e-04    3.067e-06   -5.605e-04    1.670e-06    0
  7.500   0.300   -2.226e-04    9.519e-07   -1.054e-04    3.911e-07    0
  7.500   0.400   -2.200e-04    9.346e-07   -1.043e-04    3.873e-07    0
  7.500   0.500   -2.175e-04    9.222e-07   -1.031e-04    3.828e-07    0
