      L    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300   -1.555e-04    4.315e-14   -4.328e-05    0.000e+00    0
 10.000   0.400   -1.532e-04    1.977e-14   -4.268e-05    0.000e+00    0
 10.000   0.500   -1.514e-04    1.330e-14   -4.220e-05    0.000e+00    0
 12.500   0.300   -8.242e-05    2.022e-15   -1.916e-05    2.372e-20    0
 12.500   0.400   -8.115e-05    2.330e-14   -1.888e-05    2.372e-20    0
 12.500   0.500   -8.017e-05    1.623e-14   -1.866e-05    2.372e-20    0
 15.000   0.300   -4.809e-05    2.939e-15   -9.625e-06    0.000e+00    0
 15.000   0.400   -4.733e-05    2.467e-14   -9.480e-06    0.000e+00    0
 15.000   0.500   -4.675e-05    1.648e-14   -9.367e-06    0.000e+00    0
 17.500   0.300   -3.009e-05    7.565e-16   -5.300e-06    0.000e+00    0
  1.000   0.300   -3.639e-02    3.662e-09   -8.135e-02    1.396e-08    0
  1.000   0.400   -3.583e-02    1.742e-09   -7.975e-02    1.306e-08    0
  1.000   0.500   -3.525e-02    2.426e-09   -7.800e-02    1.139e-08    0
  2.500   0.300   -4.538e-03    3.138e-11   -4.104e-03    5.053e-12    0
  2.500   0.400   -4.485e-03    3.007e-11   -4.057e-03    4.804e-12    0
  2.500   0.500   -4.435e-03    2.876e-11   -4.009e-03    4.545e-12    0
 22.500   0.300   -1.364e-05    7.565e-16   -1.950e-06    0.000e+00    0
 22.500   0.400   -1.342e-05    2.432e-14   -1.918e-06    0.000e+00    0
 22.500   0.500   -1.325e-05    1.606e-14   -1.895e-06    0.000e+00    0
 25.000   0.300   -9.690e-06    7.565e-16   -1.270e-06    0.000e+00    0
 25.000   0.400   -9.539e-06    2.432e-14   -1.249e-06    0.000e+00    0
 25.000   0.500   -9.408e-06    1.606e-14   -1.233e-06    0.000e+00    0
 27.500   0.300   -7.105e-06    1.149e-15   -8.573e-07    0.000e+00    0
 27.500   0.400   -6.965e-06    2.445e-14   -8.429e-07    0.000e+00    0
 27.500   0.500   -6.870e-06    1.597e-14   -8.323e-07    0.000e+00    0
 30.000   0.300   -5.248e-06    1.324e-15   -5.963e-07    0.000e+00    0
 30.000   0.400   -5.196e-06    2.389e-14   -5.861e-07    0.000e+00    0
 30.000   0.500   -5.125e-06    1.701e-14   -5.787e-07    0.000e+00    0
  5.000   0.300   -9.301e-04    1.554e-14   -4.434e-04    4.775e-16    0
  5.000   0.400   -9.181e-04    3.112e-14   -4.382e-04    4.625e-16    0
  5.000   0.500   -9.079e-04    2.179e-14   -4.335e-04    4.482e-16    0
  7.500   0.300   -3.381e-04    4.233e-14   -1.179e-04    3.971e-18    0
  7.500   0.400   -3.334e-04    1.996e-14   -1.164e-04    3.876e-18    0
  7.500   0.500   -3.295e-04    1.341e-14   -1.151e-04    3.781e-18    0
