      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.400   -7.686e-05    2.789e-07   -2.886e-05    9.551e-08    0
 10.000   0.000   0.500   -7.596e-05    2.752e-07   -2.854e-05    9.431e-08    0
 10.000 100.000   0.400   -3.943e-08    2.165e-10   -1.579e-09    4.729e-12    0
 10.000 100.000   0.500   -3.889e-08    2.182e-10   -1.557e-09    4.666e-12    0
 10.000  20.000   0.400   -7.650e-05    2.674e-07   -2.882e-05    9.620e-08    0
 10.000  20.000   0.500   -7.561e-05    2.642e-07   -2.849e-05    9.501e-08    0
 10.000  40.000   0.400   -6.992e-05    2.235e-07   -2.737e-05    8.046e-08    0
 10.000  40.000   0.500   -6.911e-05    2.207e-07   -2.706e-05    7.943e-08    0
 10.000  50.000   0.400   -4.028e-05    1.638e-07   -1.536e-05    3.335e-08    0
 10.000  50.000   0.500   -3.981e-05    1.619e-07   -1.518e-05    3.293e-08    0
 10.000  60.000   0.400   -7.446e-06    4.640e-08   -1.670e-06    4.594e-09    0
 10.000  60.000   0.500   -7.352e-06    4.578e-08   -1.649e-06    4.529e-09    0
 10.000  80.000   0.400   -3.014e-07    1.958e-09   -2.223e-08    7.609e-11    0
 10.000  80.000   0.500   -2.974e-07    1.928e-09   -2.192e-08    7.506e-11    0
 15.000   0.000   0.400   -1.595e-05    6.849e-08   -4.247e-06    1.578e-08    0
 15.000   0.000   0.500   -1.576e-05    6.758e-08   -4.196e-06    1.557e-08    0
 15.000 100.000   0.400   -3.202e-08    1.854e-10   -1.384e-09    3.989e-12    0
 15.000 100.000   0.500   -3.157e-08    1.919e-10   -1.365e-09    3.930e-12    0
 15.000  20.000   0.400   -1.575e-05    6.859e-08   -4.224e-06    1.567e-08    0
 15.000  20.000   0.500   -1.556e-05    6.772e-08   -4.174e-06    1.546e-08    0
 15.000  40.000   0.400   -1.343e-05    4.408e-08   -3.770e-06    1.058e-08    0
 15.000  40.000   0.500   -1.326e-05    4.350e-08   -3.725e-06    1.044e-08    0
 15.000  50.000   0.400   -8.184e-06    4.095e-08   -2.202e-06    4.856e-09    0
 15.000  50.000   0.500   -8.085e-06    4.045e-08   -2.176e-06    4.791e-09    0
 15.000  60.000   0.400   -2.629e-06    1.611e-08   -5.049e-07    1.459e-09    0
 15.000  60.000   0.500   -2.596e-06    1.589e-08   -4.986e-07    1.440e-09    0
 15.000  80.000   0.400   -2.059e-07    1.384e-09   -1.610e-08    6.123e-11    0
 15.000  80.000   0.500   -2.031e-07    1.386e-09   -1.589e-08    6.037e-11    0
  1.000   0.000   0.400   -6.954e-02    3.158e-04   -1.619e-01    4.669e-04    0
  1.000   0.000   0.500   -6.836e-02    3.124e-04   -1.581e-01    4.615e-04    0
  1.000 100.000   0.400   -5.484e-08    2.699e-10   -1.799e-09    6.537e-12    0
  1.000 100.000   0.500   -5.404e-08    2.670e-10   -1.774e-09    6.451e-12    0
  1.000  20.000   0.400   -6.956e-02    3.160e-04   -1.620e-01    4.676e-04    0
  1.000  20.000   0.500   -6.833e-02    3.124e-04   -1.580e-01    4.614e-04    0
  1.000  40.000   0.400   -6.951e-02    3.141e-04   -1.620e-01    4.671e-04    0
  1.000  40.000   0.500   -6.828e-02    3.104e-04   -1.580e-01    4.609e-04    0
  1.000  50.000   0.400   -3.834e-02    1.548e-04   -8.818e-02    2.461e-04    0
  1.000  50.000   0.500   -3.754e-02    1.527e-04   -8.551e-02    2.423e-04    0
  1.000  60.000   0.400   -6.190e-05    3.410e-07   -1.327e-05    3.636e-08    0
  1.000  60.000   0.500   -6.105e-05    3.360e-07   -1.308e-05    3.585e-08    0
  1.000  80.000   0.400   -5.474e-07    3.007e-09   -3.128e-08    9.145e-11    0
