      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.400   -2.498e-04    2.141e-14   -7.211e-05    0.000e+00    0
 10.000   0.000   0.500   -2.468e-04    1.823e-14   -7.128e-05    0.000e+00    0
 10.000 100.000   0.400   -7.157e-07    1.164e-14   -2.188e-08    0.000e+00    0
 10.000 100.000   0.500   -7.033e-07    9.878e-15   -2.157e-08    0.000e+00    0
 10.000  20.000   0.400   -2.486e-04    2.009e-14   -7.198e-05    0.000e+00    0
 10.000  20.000   0.500   -2.456e-04    1.488e-14   -7.116e-05    0.000e+00    0
 10.000  40.000   0.400   -2.319e-04    1.916e-14   -6.933e-05    0.000e+00    0
 10.000  40.000   0.500   -2.292e-04    1.414e-14   -6.854e-05    0.000e+00    0
 10.000  50.000   0.400   -1.537e-04    1.440e-14   -4.420e-05    0.000e+00    0
 10.000  50.000   0.500   -1.519e-04    5.179e-15   -4.369e-05    0.000e+00    0
 10.000  60.000   0.400   -4.345e-05    1.223e-14   -7.389e-06    0.000e+00    0
 10.000  60.000   0.500   -4.290e-05    9.397e-15   -7.295e-06    0.000e+00    0
 10.000  80.000   0.400   -3.658e-06    1.164e-14   -2.073e-07    0.000e+00    0
 10.000  80.000   0.500   -3.609e-06    9.878e-15   -2.044e-07    0.000e+00    0
 15.000   0.000   0.400   -7.426e-05    3.598e-14   -1.531e-05    0.000e+00    0
 15.000   0.000   0.500   -7.335e-05    1.798e-14   -1.513e-05    0.000e+00    0
 15.000 100.000   0.400   -6.086e-07    1.197e-14   -2.039e-08    0.000e+00    0
 15.000 100.000   0.500   -5.909e-07    1.005e-14   -2.011e-08    0.000e+00    0
 15.000  20.000   0.400   -7.351e-05    1.798e-14   -1.524e-05    0.000e+00    0
 15.000  20.000   0.500   -7.261e-05    1.978e-14   -1.506e-05    0.000e+00    0
 15.000  40.000   0.400   -6.569e-05    1.341e-14   -1.412e-05    0.000e+00    0
 15.000  40.000   0.500   -6.490e-05    1.062e-14   -1.395e-05    0.000e+00    0
 15.000  50.000   0.400   -4.589e-05    1.084e-14   -9.421e-06    0.000e+00    0
 15.000  50.000   0.500   -4.535e-05    9.339e-15   -9.310e-06    0.000e+00    0
 15.000  60.000   0.400   -1.964e-05    1.084e-14   -2.896e-06    0.000e+00    0
 15.000  60.000   0.500   -1.939e-05    9.339e-15   -2.860e-06    0.000e+00    0
 15.000  80.000   0.400   -2.732e-06    1.197e-14   -1.660e-07    0.000e+00    0
 15.000  80.000   0.500   -2.679e-06    1.005e-14   -1.637e-07    0.000e+00    0
  1.000   0.000   0.400   -7.099e-02    1.119e-08   -1.615e-01    3.287e-08    0
  1.000   0.000   0.500   -6.978e-02    9.943e-09   -1.578e-01    2.826e-08    0
  1.000 100.000   0.400   -9.356e-07    1.413e-14   -2.224e-08    0.000e+00    0
  1.000 100.000   0.500   -8.952e-07    9.819e-15   -2.193e-08    0.000e+00    0
  1.000  20.000   0.400   -7.100e-02    9.701e-09   -1.616e-01    3.247e-08    0
  1.000  20.000   0.500   -6.976e-02    9.220e-09   -1.577e-01    2.827e-08    0
  1.000  40.000   0.400   -7.093e-02    9.891e-09   -1.616e-01    3.248e-08    0
  1.000  40.000   0.500   -6.968e-02    9.220e-09   -1.577e-01    2.827e-08    0
  1.000  50.000   0.400   -4.000e-02    5.956e-09   -8.869e-02    1.681e-08    0
  1.000  50.000   0.500   -3.918e-02    4.030e-09   -8.601e-02    1.287e-08    0
  1.000  60.000   0.400   -2.133e-04    1.564e-14   -3.419e-05    2.033e-20    0
  1.000  60.000   0.500   -2.104e-04    5.833e-15   -3.370e-05    2.033e-20    0
  1.000  80.000   0.400   -5.753e-06    1.413e-14   -2.443e-07    0.000e+00    0
  1.000  80.000   0.500   -5.664e-06    9.819e-15   -2.409e-07    0.000e+00    0
 20.000   0.000   0.400   -2.991e-05    3.619e-14   -4.831e-06    0.000e+00    0
 20.000   0.000   0.500   -2.953e-05    1.820e-14   -4.772e-06    0.000e+00    0
 20.000 100.000   0.400   -5.172e-07    1.190e-14   -1.832e-08    0.000e+00    0
 20.000 100.000   0.500   -4.994e-07    1.002e-14   -1.807e-08    0.000e+00    0
 20.000  20.000   0.400   -2.940e-05    2.047e-14   -4.791e-06    0.000e+00    0
 20.000  20.000   0.500   -2.905e-05    1.949e-14   -4.733e-06    0.000e+00    0
 20.000  40.000   0.400   -2.546e-05    1.369e-14   -4.281e-06    0.000e+00    0
 20.000  40.000   0.500   -2.514e-05    1.126e-14   -4.229e-06    0.000e+00    0
 20.000  50.000   0.400   -1.858e-05    1.180e-14   -2.979e-06    0.000e+00    0
 20.000  50.000   0.500   -1.836e-05    1.071e-14   -2.943e-06    0.000e+00    0
 20.000  60.000   0.400   -9.911e-06    1.180e-14   -1.259e-06    0.000e+00    0
 20.000  60.000   0.500   -9.781e-06    1.071e-14   -1.243e-06    0.000e+00    0
 20.000  80.000   0.400   -2.002e-06    1.190e-14   -1.254e-07    0.000e+00    0
 20.000  80.000   0.500   -1.962e-06    1.002e-14   -1.237e-07    0.000e+00    0
 25.000   0.000   0.400   -1.436e-05    3.619e-14   -1.922e-06    0.000e+00    0
 25.000   0.000   0.500   -1.418e-05    1.820e-14   -1.898e-06    0.000e+00    0
 25.000 100.000   0.400   -4.135e-07    1.190e-14   -1.597e-08    0.000e+00    0
 25.000 100.000   0.500   -4.161e-07    1.002e-14   -1.575e-08    0.000e+00    0
 25.000  20.000   0.400   -1.403e-05    2.047e-14   -1.896e-06    0.000e+00    0
 25.000  20.000   0.500   -1.386e-05    1.949e-14   -1.873e-06    0.000e+00    0
 25.000  40.000   0.400   -1.190e-05    1.369e-14   -1.646e-06    0.000e+00    0
