      L    Grid       Energy    EnergyErr        Force     ForceErr Status
  0.178   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.178   0.400   -2.212e+00    1.727e-02   -1.958e+01    5.610e-02    0
  0.178   0.600   -1.691e+00    1.464e-02   -1.278e+01    3.902e-02    0
  0.178   0.800   -1.169e+00    9.811e-03   -7.237e+00    2.181e-02    0
  0.178   1.000   -9.235e-01    5.430e-03   -5.175e+00    1.174e-02    0
  0.100   0.300   -6.502e+00    4.220e-02   -9.218e+01    2.133e-01    0
  0.100   0.400   -4.921e+00    4.077e-02   -5.937e+01    1.623e-01    0
  0.100   0.600   -3.308e+00    2.629e-02   -3.298e+01    8.205e-02    0
  0.100   0.800   -1.998e+00    1.893e-02   -1.549e+01    4.343e-02    0
  0.100   1.000   -1.496e+00    1.009e-02   -1.036e+01    3.407e-02    0
  0.316   0.300   -8.703e-01    6.193e-03   -5.556e+00    1.568e-02    0
  0.316   0.400   -8.099e-01    5.599e-03   -4.879e+00    1.382e-02    0
  0.316   0.600   -7.010e-01    5.549e-03   -3.804e+00    1.229e-02    0
  0.316   0.800   -5.559e-01    3.775e-03   -2.622e+00    7.852e-03    0
  0.316   1.000   -4.686e-01    2.697e-03   -2.034e+00    5.384e-03    0
  0.562   0.300   -2.591e-01    1.495e-03   -1.006e+00    2.938e-03    0
  0.562   0.400   -2.518e-01    1.415e-03   -9.580e-01    2.785e-03    0
  0.562   0.600   -2.366e-01    1.418e-03   -8.597e-01    2.686e-03    0
  0.562   0.800   -2.096e-01    1.024e-03   -7.050e-01    1.992e-03    0
  0.562   1.000   -1.889e-01    8.701e-04   -5.997e-01    1.659e-03    0
  1.778   0.300   -1.721e-02    8.083e-05   -2.497e-02    6.585e-05    0
  1.778   0.400   -1.707e-02    8.013e-05   -2.471e-02    6.520e-05    0
  1.778   0.600   -1.678e-02    7.925e-05   -2.419e-02    6.431e-05    0
  1.778   0.800   -1.621e-02    7.497e-05   -2.315e-02    6.045e-05    0
  1.778   1.000   -1.567e-02    7.298e-05   -2.219e-02    5.850e-05    0
 10.000   0.300   -5.955e-05    3.707e-07   -2.525e-05    1.112e-07    0
 10.000   0.400   -5.886e-05    3.667e-07   -2.497e-05    1.099e-07    0
 10.000   0.600   -5.894e-05    3.025e-07   -2.496e-05    8.799e-08    0
 10.000   0.800   -5.778e-05    2.965e-07   -2.447e-05    8.616e-08    0
 10.000   1.000   -5.644e-05    2.897e-07   -2.389e-05    8.420e-08    0
 12.589   0.300   -2.163e-05    1.260e-07   -7.830e-06    2.962e-08    0
 12.589   0.400   -2.137e-05    1.245e-07   -7.740e-06    2.925e-08    0
 15.849   0.300   -7.307e-06    3.846e-08   -2.245e-06    7.650e-09    0
 15.849   0.400   -7.215e-06    3.795e-08   -2.218e-06    7.569e-09    0
 19.953   0.300   -2.300e-06    1.194e-08   -5.959e-07    2.265e-09    0
 19.953   0.400   -2.270e-06    1.178e-08   -5.883e-07    2.240e-09    0
  1.000   0.300   -7.059e-02    3.249e-04   -1.654e-01    4.678e-04    0
  1.000   0.400   -6.964e-02    3.210e-04   -1.622e-01    4.575e-04    0
  1.000   0.600   -6.771e-02    3.158e-04   -1.555e-01    4.504e-04    0
  1.000   0.800   -6.385e-02    2.915e-04   -1.423e-01    3.772e-04    0
  1.000   1.000   -6.037e-02    2.804e-04   -1.310e-01    3.588e-04    0
 25.119   0.300   -6.764e-07    6.404e-09   -1.467e-07    4.982e-10    0
 25.119   0.400   -6.671e-07    6.302e-09   -1.448e-07    4.881e-10    0
  3.162   0.300   -3.525e-03    2.116e-05   -3.295e-03    9.023e-06    0
  3.162   0.400   -3.503e-03    2.101e-05   -3.272e-03    8.972e-06    0
  3.162   0.600   -3.456e-03    2.081e-05   -3.224e-03    8.845e-06    0
  3.162   0.800   -3.371e-03    1.990e-05   -3.134e-03    8.683e-06    0
  3.162   1.000   -3.282e-03    1.945e-05   -3.044e-03    8.444e-06    0
 31.623   0.300   -1.876e-07    1.592e-09   -3.379e-08    9.382e-11    0
 31.623   0.400   -1.847e-07    1.476e-09   -3.332e-08    9.343e-11    0
  5.623   0.300   -5.534e-04    2.700e-06   -3.456e-04    1.563e-06    0
  5.623   0.400   -5.504e-04    2.687e-06   -3.436e-04    1.555e-06    0
  5.623   0.600   -5.438e-04    2.657e-06   -3.394e-04    1.538e-06    0
  5.623   0.800   -5.324e-04    2.607e-06   -3.319e-04    1.503e-06    0
  5.623   1.000   -5.196e-04    2.546e-06   -3.237e-04    1.468e-06    0
