      L    Grid       Energy    EnergyErr        Force     ForceErr Status
  1.778   0.300   -1.843e-02    1.048e-10   -2.488e-02    1.266e-09    0
  1.778   0.400   -1.822e-02    9.811e-11   -2.455e-02    1.184e-09    0
  1.778   0.500   -1.799e-02    9.724e-11   -2.420e-02    1.105e-09    0
 10.000   0.300   -1.591e-04    1.877e-14   -5.638e-05    0.000e+00    0
 10.000   0.400   -1.570e-04    2.618e-15   -5.569e-05    0.000e+00    0
 10.000   0.500   -1.552e-04    4.902e-15   -5.505e-05    0.000e+00    0
 12.589   0.300   -6.800e-05    3.307e-14   -2.074e-05    3.727e-20    0
 12.589   0.400   -6.706e-05    1.066e-14   -2.047e-05    3.727e-20    0
 12.589   0.500   -6.625e-05    9.688e-15   -2.023e-05    3.727e-20    0
 15.849   0.300   -2.718e-05    3.760e-14   -7.074e-06    0.000e+00    0
 15.849   0.400   -2.676e-05    1.190e-14   -6.978e-06    0.000e+00    0
 15.849   0.500   -2.644e-05    9.892e-15   -6.896e-06    0.000e+00    0
 17.783   0.300   -1.678e-05    3.826e-14   -4.018e-06    0.000e+00    0
 17.783   0.400   -1.650e-05    1.156e-14   -3.962e-06    0.000e+00    0
 17.783   0.500   -1.629e-05    9.790e-15   -3.915e-06    0.000e+00    0
 19.953   0.300   -1.019e-05    3.331e-14   -2.242e-06    0.000e+00    0
 19.953   0.400   -1.001e-05    1.072e-14   -2.210e-06    0.000e+00    0
 19.953   0.500   -9.886e-06    9.572e-15   -2.184e-06    0.000e+00    0
  1.000   0.300   -7.157e-02    1.010e-08   -1.648e-01    7.548e-09    0
  1.000   0.400   -7.042e-02    1.176e-08   -1.612e-01    3.148e-08    0
  1.000   0.500   -6.920e-02    1.043e-08   -1.574e-01    2.752e-08    0
 25.119   0.300   -3.605e-06    3.331e-14   -6.628e-07    0.000e+00    0
 25.119   0.400   -3.536e-06    1.072e-14   -6.530e-07    0.000e+00    0
 25.119   0.500   -3.482e-06    9.572e-15   -6.452e-07    0.000e+00    0
  3.162   0.300   -4.546e-03    2.266e-13   -3.565e-03    1.999e-12    0
  3.162   0.400   -4.495e-03    2.341e-13   -3.526e-03    1.917e-12    0
  3.162   0.500   -4.445e-03    2.200e-13   -3.485e-03    1.836e-12    0
 31.623   0.300   -1.265e-06    3.523e-14   -1.841e-07    0.000e+00    0
 31.623   0.400   -1.174e-06    1.087e-14   -1.812e-07    0.000e+00    0
 31.623   0.500   -1.160e-06    9.732e-15   -1.790e-07    0.000e+00    0
  5.623   0.300   -9.979e-04    1.600e-16   -5.075e-04    1.475e-17    0
  5.623   0.400   -9.860e-04    1.353e-14   -5.018e-04    1.431e-17    0
  5.623   0.500   -9.749e-04    2.086e-14   -4.963e-04    1.388e-17    0
