      L    Grid       Energy    EnergyErr        Force     ForceErr Status
  0.178   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.178   0.400   -1.026e+00    7.434e-03   -8.792e+00    2.833e-02    0
  0.178   0.600   -8.089e-01    6.474e-03   -5.973e+00    2.001e-02    0
  0.178   0.800   -5.724e-01    4.377e-03   -3.457e+00    1.126e-02    0
  0.178   1.000   -4.615e-01    2.432e-03   -2.531e+00    6.158e-03    0
  0.100   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.100   0.400   -2.205e+00    1.820e-02   -2.501e+01    8.317e-02    0
  0.100   0.600   -1.546e+00    1.198e-02   -1.464e+01    4.137e-02    0
  0.100   0.800   -9.592e-01    8.843e-03   -7.036e+00    2.046e-02    0
  0.100   1.000   -7.355e-01    3.765e-03   -4.843e+00    1.108e-02    0
  0.316   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.316   0.400   -3.858e-01    2.401e-03   -2.268e+00    6.699e-03    0
  0.316   0.600   -3.402e-01    2.415e-03   -1.821e+00    6.151e-03    0
  0.316   0.800   -2.750e-01    1.640e-03   -1.286e+00    3.956e-03    0
  0.316   1.000   -2.359e-01    1.188e-03   -1.019e+00    2.746e-03    0
  0.562   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  0.562   0.400   -1.232e-01    6.208e-04   -4.584e-01    1.323e-03    0
  0.562   0.600   -1.167e-01    6.256e-04   -4.173e-01    1.294e-03    0
  0.562   0.800   -1.045e-01    4.517e-04   -3.484e-01    9.362e-04    0
  0.562   1.000   -9.522e-02    3.877e-04   -3.018e-01    7.865e-04    0
  1.778   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.778   0.400   -8.747e-03    8.338e-05   -1.250e-02    3.200e-05    0
  1.778   0.600   -8.607e-03    3.804e-05   -1.225e-02    3.149e-05    0
  1.778   0.800   -8.324e-03    7.726e-05   -1.174e-02    2.828e-05    0
  1.778   1.000   -8.056e-03    7.550e-05   -1.128e-02    2.789e-05    0
 10.000   0.300   -3.251e-05    1.428e-07   -1.365e-05    4.344e-08    0
 10.000   0.400   -3.215e-05    1.418e-07   -1.351e-05    4.301e-08    0
 10.000   0.600   -3.210e-05    1.388e-07   -1.348e-05    4.242e-08    0
 10.000   0.800   -3.153e-05    1.372e-07   -1.323e-05    4.181e-08    0
 10.000   1.000   -3.084e-05    1.345e-07   -1.294e-05    4.097e-08    0
 12.589   0.300   -1.192e-05    6.171e-08   -4.277e-06    1.525e-08    0
 12.589   0.400   -1.178e-05    6.124e-08   -4.230e-06    1.507e-08    0
 15.849   0.300   -4.061e-06    1.949e-08   -1.239e-06    3.828e-09    0
 15.849   0.400   -4.013e-06    1.928e-08   -1.225e-06    3.778e-09    0
 19.953   0.300   -1.288e-06    6.264e-09   -3.317e-07    1.098e-09    0
 19.953   0.400   -1.272e-06    6.203e-09   -3.277e-07    1.088e-09    0
  1.000   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  1.000   0.400   -3.496e-02    1.590e-04   -8.001e-02    2.135e-04    0
  1.000   0.600   -3.405e-02    1.566e-04   -7.700e-02    2.100e-04    0
  1.000   0.800   -3.222e-02    1.432e-04   -7.093e-02    1.814e-04    0
  1.000   1.000   -3.061e-02    1.379e-04   -6.586e-02    1.712e-04    0
 25.119   0.300   -3.818e-07    1.722e-09   -8.238e-08    2.616e-10    0
 25.119   0.400   -3.767e-07    1.659e-09   -8.134e-08    2.590e-10    0
  3.162   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  3.162   0.400   -1.830e-03    1.049e-05   -1.691e-03    4.484e-06    0
  3.162   0.600   -1.807e-03    1.043e-05   -1.666e-03    4.420e-06    0
  3.162   0.800   -1.764e-03    1.002e-05   -1.621e-03    4.336e-06    0
  3.162   1.000   -1.718e-03    9.830e-06   -1.576e-03    4.200e-06    0
 31.623   0.300   -1.062e-07    9.517e-10   -1.907e-08    6.880e-11    0
 31.623   0.400   -1.047e-07    9.125e-10   -1.882e-08    6.716e-11    0
  5.623   0.300    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
  5.623   0.400   -2.930e-04    1.272e-06   -1.811e-04    7.317e-07    0
  5.623   0.600   -2.900e-04    1.262e-06   -1.791e-04    7.264e-07    0
  5.623   0.800   -2.843e-04    1.229e-06   -1.753e-04    7.127e-07    0
  5.623   1.000   -2.777e-04    1.206e-06   -1.711e-04    6.968e-07    0
