      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.200   2.500 300.000   -1.773e-04    1.456e-17   -6.087e-05    0.000e+00    0
 10.000   0.300  10.000 300.000   -2.368e-04    8.743e-15   -7.074e-05    0.000e+00    0
 10.000   0.300  15.000 300.000   -2.433e-04    2.240e-15   -7.153e-05    0.000e+00    0
 10.000   0.300   2.000 300.000   -1.590e-04    6.881e-15   -5.636e-05    0.000e+00    0
 10.000   0.300  20.000 300.000   -2.465e-04    1.411e-14   -7.190e-05    0.000e+00    0
 10.000   0.300   3.000 300.000   -1.886e-04    5.557e-15   -6.315e-05    0.000e+00    0
 10.000   0.300   5.000 300.000   -2.161e-04    1.194e-14   -6.792e-05    0.000e+00    0
 10.000   0.400  10.000 300.000   -2.333e-04    9.616e-15   -6.978e-05    0.000e+00    0
 10.000   0.400  15.000 300.000   -2.397e-04    4.902e-15   -7.056e-05    0.000e+00    0
 10.000   0.400   2.000 300.000   -1.569e-04    5.542e-15   -5.565e-05    0.000e+00    0
 10.000   0.400  20.000 300.000   -2.428e-04    9.645e-15   -7.090e-05    0.000e+00    0
 10.000   0.400   3.000 300.000   -1.862e-04    5.630e-15   -6.234e-05    0.000e+00    0
 10.000   0.400   5.000 300.000   -2.130e-04    1.215e-14   -6.702e-05    0.000e+00    0
 12.500   0.200   2.500 300.000   -7.987e-05    9.763e-14   -2.374e-05    5.082e-20    0
 12.500   0.300  10.000 300.000   -1.195e-04    6.052e-15   -3.003e-05    5.082e-20    0
 12.500   0.300  15.000 300.000   -1.244e-04    1.333e-14   -3.056e-05    4.743e-20    0
 12.500   0.300   2.000 300.000   -6.979e-05    2.778e-15   -2.140e-05    5.082e-20    0
 12.500   0.300  20.000 300.000   -1.268e-04    1.542e-14   -3.082e-05    4.743e-20    0
 12.500   0.300   3.000 300.000   -8.679e-05    4.961e-15   -2.511e-05    5.082e-20    0
 12.500   0.300   5.000 300.000   -1.046e-04    8.292e-15   -2.812e-05    5.082e-20    0
 12.500   0.400  10.000 300.000   -1.177e-04    6.663e-15   -2.960e-05    5.082e-20    0
 12.500   0.400  15.000 300.000   -1.225e-04    1.949e-15   -3.013e-05    5.082e-20    0
 12.500   0.400   2.000 300.000   -6.885e-05    2.080e-15   -2.112e-05    5.082e-20    0
 12.500   0.400  20.000 300.000   -1.248e-04    7.783e-15   -3.036e-05    5.082e-20    0
 12.500   0.400   3.000 300.000   -8.560e-05    3.564e-15   -2.478e-05    5.082e-20    0
 12.500   0.400   5.000 300.000   -1.031e-04    6.299e-15   -2.773e-05    5.082e-20    0
 15.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 15.000   0.300  10.000 300.000   -6.659e-05    1.514e-14   -1.452e-05    0.000e+00    0
 15.000   0.300  15.000 300.000   -7.038e-05    3.884e-15   -1.489e-05    0.000e+00    0
 15.000   0.300   2.000 300.000   -3.392e-05    5.324e-15   -9.204e-06    0.000e+00    0
 15.000   0.300  20.000 300.000   -7.228e-05    7.317e-15   -1.507e-05    0.000e+00    0
 15.000   0.300   3.000 300.000   -4.392e-05    6.401e-15   -1.127e-05    0.000e+00    0
 15.000   0.300   5.000 300.000   -5.569e-05    1.747e-14   -1.319e-05    0.000e+00    0
 15.000   0.400  10.000 300.000   -6.556e-05    4.481e-15   -1.430e-05    0.000e+00    0
 15.000   0.400  15.000 300.000   -6.928e-05    2.328e-16   -1.467e-05    0.000e+00    0
 15.000   0.400   2.000 300.000   -3.350e-05    3.942e-15   -9.079e-06    0.000e+00    0
 15.000   0.400  20.000 300.000   -7.107e-05    5.601e-15   -1.484e-05    0.000e+00    0
 15.000   0.400   3.000 300.000   -4.334e-05    1.120e-15   -1.112e-05    0.000e+00    0
 15.000   0.400   5.000 300.000   -5.488e-05    3.724e-15   -1.300e-05    0.000e+00    0
 17.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300  10.000 300.000   -3.996e-05    1.717e-14   -7.708e-06    0.000e+00    0
 17.500   0.300  15.000 300.000   -4.289e-05    2.677e-15   -7.985e-06    0.000e+00    0
 17.500   0.300   2.000 300.000   -1.793e-05    7.448e-15   -4.349e-06    0.000e+00    0
 17.500   0.300  20.000 300.000   -4.443e-05    6.008e-15   -8.116e-06    0.000e+00    0
 17.500   0.300   3.000 300.000   -2.393e-05    9.805e-15   -5.527e-06    0.000e+00    0
 17.500   0.300   5.000 300.000   -3.184e-05    1.898e-14   -6.764e-06    0.000e+00    0
 17.500   0.400  10.000 300.000   -3.925e-05    4.815e-15   -7.589e-06    0.000e+00    0
 17.500   0.400  15.000 300.000   -4.217e-05    1.018e-16   -7.863e-06    0.000e+00    0
 17.500   0.400   2.000 300.000   -1.765e-05    4.044e-15   -4.288e-06    0.000e+00    0
 17.500   0.400  20.000 300.000   -4.359e-05    5.935e-15   -7.985e-06    0.000e+00    0
 17.500   0.400   3.000 300.000   -2.360e-05    1.382e-15   -5.451e-06    0.000e+00    0
 17.500   0.400   5.000 300.000   -3.132e-05    4.597e-15   -6.664e-06    0.000e+00    0
 20.000   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300  10.000 300.000   -2.526e-05    1.717e-14   -4.394e-06    0.000e+00    0
 20.000   0.300  15.000 300.000   -2.763e-05    2.677e-15   -4.603e-06    0.000e+00    0
 20.000   0.300   2.000 300.000   -1.000e-05    7.448e-15   -2.213e-06    0.000e+00    0
 20.000   0.300  20.000 300.000   -2.883e-05    6.008e-15   -4.701e-06    0.000e+00    0
 20.000   0.300   3.000 300.000   -1.379e-05    9.805e-15   -2.904e-06    0.000e+00    0
 20.000   0.300   5.000 300.000   -1.913e-05    1.898e-14   -3.712e-06    0.000e+00    0
 20.000   0.400  10.000 300.000   -2.482e-05    4.815e-15   -4.325e-06    0.000e+00    0
 20.000   0.400  15.000 300.000   -2.715e-05    1.018e-16   -4.530e-06    0.000e+00    0
 20.000   0.400   2.000 300.000   -9.899e-06    4.044e-15   -2.181e-06    0.000e+00    0
 20.000   0.400  20.000 300.000   -2.831e-05    5.935e-15   -4.622e-06    0.000e+00    0
 20.000   0.400   3.000 300.000   -1.360e-05    1.382e-15   -2.863e-06    0.000e+00    0
 20.000   0.400   5.000 300.000   -1.886e-05    4.597e-15   -3.656e-06    0.000e+00    0
 22.500   0.200   2.500 300.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 22.500   0.300  10.000 300.000   -1.667e-05    1.717e-14   -2.648e-06    0.000e+00    0
 22.500   0.300  15.000 300.000   -1.859e-05    2.677e-15   -2.808e-06    0.000e+00    0
 22.500   0.300   2.000 300.000   -5.904e-06    7.448e-15   -1.196e-06    0.000e+00    0
 22.500   0.300  20.000 300.000   -1.955e-05    6.008e-15   -2.884e-06    0.000e+00    0
 22.500   0.300   3.000 300.000   -8.314e-06    9.805e-15   -1.612e-06    0.000e+00    0
