      L    Grid  Aspect    Temp       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.300  10.000   0.000   -4.244e-05    1.866e-07   -1.583e-05    4.450e-08    0
 10.000   0.300  15.000   0.000   -4.270e-05    1.822e-07   -1.586e-05    4.317e-08    0
 10.000   0.300   2.000   0.000   -3.263e-05    1.445e-07   -1.370e-05    4.374e-08    0
 10.000   0.300  20.000   0.000   -4.278e-05    1.787e-07   -1.586e-05    4.265e-08    0
 10.000   0.300   3.000   0.000   -3.745e-05    1.659e-07   -1.495e-05    5.082e-08    0
 10.000   0.300   5.000   0.000   -4.085e-05    1.506e-07   -1.560e-05    4.967e-08    0
 10.000   0.400  10.000   0.000   -4.188e-05    1.830e-07   -1.563e-05    4.397e-08    0
 10.000   0.400  15.000   0.000   -4.218e-05    1.785e-07   -1.567e-05    4.285e-08    0
 10.000   0.400   2.000   0.000   -3.221e-05    1.426e-07   -1.354e-05    4.317e-08    0
 10.000   0.400  20.000   0.000   -4.227e-05    1.749e-07   -1.569e-05    4.238e-08    0
 10.000   0.400   3.000   0.000   -3.700e-05    1.643e-07   -1.478e-05    5.025e-08    0
 10.000   0.400   5.000   0.000   -4.034e-05    1.477e-07   -1.542e-05    4.913e-08    0
 12.500   0.300  10.000   0.000   -1.815e-05    7.562e-08   -5.638e-06    1.470e-08    0
 12.500   0.300  15.000   0.000   -1.835e-05    7.651e-08   -5.658e-06    1.392e-08    0
 12.500   0.300   2.000   0.000   -1.236e-05    6.445e-08   -4.454e-06    1.595e-08    0
 12.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 12.500   0.300   3.000   0.000   -1.491e-05    8.218e-08   -5.090e-06    2.021e-08    0
 12.500   0.300   5.000   0.000   -1.702e-05    6.765e-08   -5.486e-06    1.703e-08    0
 12.500   0.400  10.000   0.000   -1.790e-05    7.418e-08   -5.564e-06    1.451e-08    0
 12.500   0.400  15.000   0.000   -1.812e-05    7.488e-08   -5.590e-06    1.380e-08    0
 12.500   0.400   2.000   0.000   -1.219e-05    6.362e-08   -4.398e-06    1.574e-08    0
 12.500   0.400  20.000   0.000   -1.819e-05    7.297e-08   -5.597e-06    1.351e-08    0
 12.500   0.400   3.000   0.000   -1.473e-05    8.121e-08   -5.029e-06    1.996e-08    0
 12.500   0.400   5.000   0.000   -1.680e-05    6.687e-08   -5.418e-06    1.682e-08    0
 15.000   0.300  10.000   0.000   -8.843e-06    4.286e-08   -2.360e-06    7.814e-09    0
 15.000   0.300  15.000   0.000   -9.001e-06    4.560e-08   -2.375e-06    7.318e-09    0
 15.000   0.300   2.000   0.000   -5.309e-06    2.611e-08   -1.684e-06    5.386e-09    0
 15.000   0.300  20.000   0.000   -9.057e-06    4.500e-08   -2.380e-06    7.131e-09    0
 15.000   0.300   3.000   0.000   -6.702e-06    3.629e-08   -2.013e-06    7.404e-09    0
 15.000   0.300   5.000   0.000   -8.035e-06    4.187e-08   -2.255e-06    8.703e-09    0
 15.000   0.400  10.000   0.000   -8.715e-06    4.202e-08   -2.328e-06    7.703e-09    0
 15.000   0.400  15.000   0.000   -8.883e-06    4.466e-08   -2.346e-06    7.244e-09    0
 15.000   0.400   2.000   0.000   -5.235e-06    2.572e-08   -1.662e-06    5.311e-09    0
 15.000   0.400  20.000   0.000   -8.936e-06    4.402e-08   -2.351e-06    7.057e-09    0
 15.000   0.400   3.000   0.000   -6.617e-06    3.582e-08   -1.988e-06    7.306e-09    0
 15.000   0.400   5.000   0.000   -7.927e-06    4.135e-08   -2.226e-06    8.585e-09    0
 17.500   0.300  10.000   0.000   -4.735e-06    2.159e-08   -1.110e-06    3.657e-09    0
 17.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   2.000   0.000   -2.508e-06    1.166e-08   -7.120e-07    2.050e-09    0
 17.500   0.300  20.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 17.500   0.300   3.000   0.000   -3.293e-06    1.729e-08   -8.870e-07    3.017e-09    0
 17.500   0.300   5.000   0.000   -4.146e-06    2.227e-08   -1.037e-06    3.915e-09    0
 17.500   0.400  10.000   0.000   -4.665e-06    2.111e-08   -1.094e-06    3.603e-09    0
 17.500   0.400  15.000   0.000   -4.794e-06    2.398e-08   -1.107e-06    3.303e-09    0
 17.500   0.400   2.000   0.000   -2.473e-06    1.142e-08   -7.023e-07    2.021e-09    0
 17.500   0.400  20.000   0.000   -4.836e-06    2.409e-08   -1.111e-06    3.178e-09    0
 17.500   0.400   3.000   0.000   -3.251e-06    1.702e-08   -8.758e-07    2.976e-09    0
 17.500   0.400   5.000   0.000   -4.089e-06    2.193e-08   -1.023e-06    3.860e-09    0
 20.000   0.300  10.000   0.000   -2.721e-06    1.145e-08   -5.706e-07    1.901e-09    0
 20.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.300   2.000   0.000   -1.277e-06    6.224e-09   -3.283e-07    1.092e-09    0
 20.000   0.300  20.000   0.000   -2.858e-06    1.449e-08   -5.823e-07    1.615e-09    0
 20.000   0.300   3.000   0.000   -1.734e-06    8.701e-09   -4.243e-07    1.335e-09    0
 20.000   0.300   5.000   0.000   -2.288e-06    1.239e-08   -5.182e-07    1.903e-09    0
 20.000   0.400  10.000   0.000   -2.680e-06    1.119e-08   -5.622e-07    1.872e-09    0
 20.000   0.400  15.000   0.000   -2.782e-06    1.376e-08   -5.717e-07    1.683e-09    0
 20.000   0.400   2.000   0.000   -1.258e-06    6.138e-09   -3.237e-07    1.077e-09    0
 20.000   0.400  20.000   0.000   -2.817e-06    1.419e-08   -5.744e-07    1.595e-09    0
 20.000   0.400   3.000   0.000   -1.711e-06    8.592e-09   -4.189e-07    1.316e-09    0
 20.000   0.400   5.000   0.000   -2.256e-06    1.223e-08   -5.111e-07    1.875e-09    0
 22.500   0.300  10.000   0.000   -1.653e-06    7.311e-09   -3.141e-07    1.065e-09    0
 22.500   0.300  15.000   0.000   -1.733e-06    8.434e-09   -3.209e-07    9.465e-10    0
 22.500   0.300   2.000   0.000   -6.908e-07    3.196e-09   -1.624e-07    5.297e-10    0
 22.500   0.300  20.000   0.000   -1.764e-06    8.990e-09   -3.232e-07    8.831e-10    0
 22.500   0.300   3.000   0.000   -9.656e-07    5.147e-09   -2.168e-07    7.686e-10    0
 22.500   0.300   5.000   0.000   -1.331e-06    7.194e-09   -2.764e-07    9.814e-10    0
 22.500   0.400  10.000   0.000   -1.627e-06    7.190e-09   -3.094e-07    1.049e-09    0
 22.500   0.400  15.000   0.000   -1.709e-06    8.259e-09   -3.166e-07    9.345e-10    0
 22.500   0.400   2.000   0.000   -6.805e-07    3.148e-09   -1.601e-07    5.224e-10    0
 22.500   0.400  20.000   0.000   -1.737e-06    8.833e-09   -3.187e-07    8.716e-10    0
 22.500   0.400   3.000   0.000   -9.527e-07    5.062e-09   -2.140e-07    7.599e-10    0
 22.500   0.400   5.000   0.000   -1.313e-06    7.110e-09   -2.725e-07    9.667e-10    0
 25.000   0.300  10.000   0.000   -1.049e-06    4.919e-09   -1.827e-07    6.317e-10    0
 25.000   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 25.000   0.300   2.000   0.000   -3.930e-07    1.738e-09   -8.515e-08    2.717e-10    0
 25.000   0.300  20.000   0.000   -1.140e-06    5.830e-09   -1.899e-07    5.175e-10    0
 25.000   0.300   3.000   0.000   -5.629e-07    2.873e-09   -1.169e-07    4.120e-10    0
 25.000   0.300   5.000   0.000   -8.084e-07    4.315e-09   -1.553e-07    5.308e-10    0
 25.000   0.400  10.000   0.000   -1.033e-06    4.796e-09   -1.799e-07    6.217e-10    0
 25.000   0.400  15.000   0.000   -1.098e-06    5.125e-09   -1.855e-07    5.555e-10    0
 25.000   0.400   2.000   0.000   -3.870e-07    1.711e-09   -8.390e-08    2.680e-10    0
 25.000   0.400  20.000   0.000   -1.122e-06    5.712e-09   -1.872e-07    5.104e-10    0
 25.000   0.400   3.000   0.000   -5.553e-07    2.837e-09   -1.153e-07    4.071e-10    0
 25.000   0.400   5.000   0.000   -7.968e-07    4.255e-09   -1.531e-07    5.229e-10    0
 27.500   0.300  10.000   0.000   -6.903e-07    3.369e-09   -1.112e-07    3.908e-10    0
 27.500   0.300  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.300   2.000   0.000   -2.333e-07    1.008e-09   -4.688e-08    1.463e-10    0
 27.500   0.300  20.000   0.000   -7.648e-07    3.885e-09   -1.169e-07    3.209e-10    0
 27.500   0.300   3.000   0.000   -3.412e-07    1.700e-09   -6.593e-08    2.300e-10    0
 27.500   0.300   5.000   0.000   -5.087e-07    2.721e-09   -9.107e-08    2.987e-10    0
 27.500   0.400  10.000   0.000   -6.794e-07    3.295e-09   -1.095e-07    3.845e-10    0
 27.500   0.400  15.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 27.500   0.400   2.000   0.000   -2.297e-07    9.740e-10   -4.618e-08    1.443e-10    0
 27.500   0.400  20.000   0.000   -7.527e-07    3.788e-09   -1.152e-07    3.165e-10    0
 27.500   0.400   3.000   0.000   -3.365e-07    1.649e-09   -6.505e-08    2.273e-10    0
 27.500   0.400   5.000   0.000   -5.014e-07    2.636e-09   -8.978e-08    2.941e-10    0
 30.000   0.300  10.000   0.000   -4.680e-07    2.379e-09   -7.028e-08    2.499e-10    0
 30.000   0.300  15.000   0.000   -5.119e-07    2.175e-09   -7.367e-08    2.313e-10    0
 30.000   0.300   2.000   0.000   -1.435e-07    1.260e-09   -2.690e-08    9.373e-11    0
 30.000   0.300  20.000   0.000   -5.297e-07    2.626e-09   -7.486e-08    2.086e-10    0
 30.000   0.300   3.000   0.000   -2.138e-07    1.006e-09   -3.866e-08    1.331e-10    0
 30.000   0.300   5.000   0.000   -3.298e-07    1.897e-09   -5.537e-08    2.027e-10    0
 30.000   0.400  10.000   0.000   -4.605e-07    2.319e-09   -6.918e-08    2.458e-10    0
 30.000   0.400  15.000   0.000   -5.043e-07    2.133e-09   -7.262e-08    2.279e-10    0
 30.000   0.400   2.000   0.000   -1.413e-07    1.234e-09   -2.650e-08    9.208e-11    0
 30.000   0.400  20.000   0.000   -5.211e-07    2.580e-09   -7.372e-08    2.057e-10    0
 30.000   0.400   3.000   0.000   -2.109e-07    9.934e-10   -3.814e-08    1.315e-10    0
 30.000   0.400   5.000   0.000   -3.250e-07    1.850e-09   -5.458e-08    1.996e-10    0
