      L    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.400   -4.248e-05    1.834e-07   -1.573e-05    4.179e-08    0
 10.000   0.500   -4.199e-05    1.811e-07   -1.555e-05    4.129e-08    0
 12.500   0.400   -1.831e-05    7.566e-08   -5.623e-06    1.346e-08    0
 12.500   0.500   -1.809e-05    7.470e-08   -5.559e-06    1.329e-08    0
 15.000   0.400   -9.006e-06    4.393e-08   -2.366e-06    7.147e-09    0
 15.000   0.500   -8.898e-06    4.336e-08   -2.338e-06    7.055e-09    0
 17.500   0.500   -4.816e-06    2.271e-08   -1.107e-06    3.229e-09    0
  1.000   0.400   -3.493e-02    1.546e-04   -7.985e-02    2.175e-04    0
 20.000   0.500   -2.802e-06    1.279e-08   -5.731e-07    1.640e-09    0
 22.500   0.500   -1.725e-06    7.624e-09   -3.182e-07    8.995e-10    0
 25.000   0.500   -1.111e-06    4.765e-09   -1.869e-07    5.227e-10    0
 27.500   0.500   -7.418e-07    3.101e-09   -1.149e-07    3.178e-10    0
 30.000   0.400   -5.175e-07    2.112e-09   -7.437e-08    2.030e-10    0
 30.000   0.500   -5.109e-07    2.091e-09   -7.344e-08    2.003e-10    0
  5.000   0.500   -4.615e-04    1.690e-06   -2.954e-04    7.505e-07    0
  7.500   0.400   -1.198e-04    5.624e-07   -5.599e-05    1.735e-07    0
