      L    Grid   Ratio   Depth    Temp       Energy    EnergyErr        Force     ForceErr Status
 20.000   0.400  10.000   1.000   0.000   -4.681e-06    2.662e-08   -9.926e-07    4.053e-09    0
 20.000   0.400  10.000   1.000 300.000   -2.488e-05    1.366e-14   -4.334e-06    0.000e+00    0
 20.000   0.400  10.000   2.000   0.000   -4.813e-06    2.548e-08   -1.011e-06    3.977e-09    0
 20.000   0.400  10.000   2.000 300.000   -2.656e-05    1.840e-14   -4.529e-06    0.000e+00    0
 20.000   0.400  10.000   3.000   0.000   -4.869e-06    2.431e-08   -1.017e-06    3.874e-09    0
 20.000   0.400  10.000   3.000 300.000   -2.753e-05    1.738e-14   -4.630e-06    0.000e+00    0
 20.000   0.400  10.000   5.000   0.000   -4.917e-06    2.299e-08   -1.022e-06    3.752e-09    0
 20.000   0.400  10.000   5.000 300.000   -2.868e-05    1.730e-14   -4.733e-06    0.000e+00    0
 20.000   0.400  20.000   1.000   0.000   -4.677e-06    2.662e-08   -9.919e-07    4.050e-09    0
 20.000   0.400  20.000   1.000 300.000   -2.487e-05    8.568e-15   -4.330e-06    0.000e+00    0
 20.000   0.400  20.000   2.000   0.000   -4.811e-06    2.550e-08   -1.010e-06    3.976e-09    0
 20.000   0.400  20.000   2.000 300.000   -2.655e-05    1.404e-14   -4.527e-06    0.000e+00    0
 20.000   0.400  20.000   3.000   0.000   -4.867e-06    2.431e-08   -1.017e-06    3.874e-09    0
 20.000   0.400  20.000   3.000 300.000   -2.753e-05    4.131e-15   -4.628e-06    0.000e+00    0
 20.000   0.400  20.000   5.000   0.000   -4.916e-06    2.299e-08   -1.022e-06    3.752e-09    0
 20.000   0.400  20.000   5.000 300.000   -2.866e-05    1.266e-14   -4.732e-06    0.000e+00    0
 20.000   0.400   5.000   1.000   0.000   -4.683e-06    2.663e-08   -9.930e-07    4.054e-09    0
 20.000   0.400   5.000   1.000 300.000   -2.491e-05    1.906e-15   -4.336e-06    0.000e+00    0
 20.000   0.400   5.000   2.000   0.000   -4.815e-06    2.549e-08   -1.011e-06    3.977e-09    0
 20.000   0.400   5.000   2.000 300.000   -2.659e-05    1.849e-14   -4.531e-06    0.000e+00    0
 20.000   0.400   5.000   3.000   0.000   -4.869e-06    2.431e-08   -1.017e-06    3.874e-09    0
 20.000   0.400   5.000   3.000 300.000   -2.754e-05    2.554e-14   -4.630e-06    0.000e+00    0
 20.000   0.400   5.000   5.000   0.000   -4.917e-06    2.300e-08   -1.022e-06    3.752e-09    0
 20.000   0.400   5.000   5.000 300.000   -2.867e-05    1.308e-14   -4.733e-06    0.000e+00    0
