      L    Grid   Ratio   Depth    Temp       Energy    EnergyErr        Force     ForceErr Status
 20.000   0.400  10.000   1.000   0.000   -2.687e-06    1.121e-08   -5.634e-07    1.878e-09    0
 20.000   0.400  10.000   1.000 300.000   -1.641e-05    1.523e-14   -2.791e-06    0.000e+00    0
 20.000   0.400  10.000   2.000   0.000   -2.753e-06    1.226e-08   -5.719e-07    1.859e-09    0
 20.000   0.400  10.000   2.000 300.000   -1.731e-05    1.401e-14   -2.887e-06    0.000e+00    0
 20.000   0.400  10.000   3.000   0.000   -2.788e-06    1.282e-08   -5.762e-07    1.817e-09    0
 20.000   0.400  10.000   3.000 300.000   -1.790e-05    2.032e-14   -2.944e-06    0.000e+00    0
 20.000   0.400  10.000   5.000   0.000   -2.818e-06    1.323e-08   -5.791e-07    1.744e-09    0
 20.000   0.400  10.000   5.000 300.000   -1.861e-05    3.541e-14   -3.008e-06    0.000e+00    0
 20.000   0.400  20.000   1.000   0.000   -2.682e-06    1.122e-08   -5.624e-07    1.873e-09    0
 20.000   0.400  20.000   1.000 300.000   -1.641e-05    7.055e-15   -2.790e-06    0.000e+00    0
 20.000   0.400  20.000   2.000   0.000   -2.752e-06    1.225e-08   -5.716e-07    1.858e-09    0
 20.000   0.400  20.000   2.000 300.000   -1.731e-05    1.317e-14   -2.886e-06    0.000e+00    0
 20.000   0.400  20.000   3.000   0.000   -2.783e-06    1.286e-08   -5.752e-07    1.810e-09    0
 20.000   0.400  20.000   3.000 300.000   -1.788e-05    1.721e-14   -2.943e-06    0.000e+00    0
 20.000   0.400  20.000   5.000   0.000   -2.813e-06    1.325e-08   -5.781e-07    1.735e-09    0
 20.000   0.400  20.000   5.000 300.000   -1.862e-05    8.903e-15   -3.008e-06    0.000e+00    0
 20.000   0.400   5.000   1.000   0.000   -2.682e-06    1.126e-08   -5.623e-07    1.869e-09    0
 20.000   0.400   5.000   1.000 300.000   -1.643e-05    1.980e-14   -2.792e-06    0.000e+00    0
 20.000   0.400   5.000   2.000   0.000   -2.751e-06    1.227e-08   -5.713e-07    1.853e-09    0
 20.000   0.400   5.000   2.000 300.000   -1.734e-05    9.136e-15   -2.888e-06    0.000e+00    0
 20.000   0.400   5.000   3.000   0.000   -2.786e-06    1.287e-08   -5.756e-07    1.813e-09    0
 20.000   0.400   5.000   3.000 300.000   -1.789e-05    3.574e-14   -2.944e-06    0.000e+00    0
 20.000   0.400   5.000   5.000   0.000    0.000e+00    0.000e+00    0.000e+00    0.000e+00    1
 20.000   0.400   5.000   5.000 300.000   -1.864e-05    3.609e-14   -3.009e-06    0.000e+00    0
