      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.500   -4.206e-05    1.807e-07   -1.557e-05    4.158e-08    0
 10.000 100.000   0.400   -2.477e-08    1.858e-10   -9.664e-10    3.944e-12    0
 10.000 100.000   0.500   -2.443e-08    1.799e-10   -9.538e-10    3.881e-12    0
 10.000  20.000   0.500   -4.180e-05    1.709e-07   -1.553e-05    4.164e-08    0
 10.000  40.000   0.500   -3.846e-05    1.405e-07   -1.481e-05    3.472e-08    0
 10.000  50.000   0.500   -2.302e-05    1.391e-07   -8.657e-06    2.193e-08    0
 10.000  60.000   0.400   -4.508e-06    3.860e-08   -1.000e-06    4.518e-09    0
 10.000  60.000   0.500   -4.453e-06    3.806e-08   -9.879e-07    4.452e-09    0
 10.000  80.000   0.400   -1.879e-07    1.624e-09   -1.355e-08    6.711e-11    0
 10.000  80.000   0.500   -1.855e-07    1.594e-09   -1.338e-08    6.612e-11    0
 15.000   0.000   0.500   -8.916e-06    4.325e-08   -2.343e-06    7.100e-09    0
 15.000 100.000   0.500   -1.993e-08    1.382e-10   -8.442e-10    3.140e-12    0
 15.000  20.000   0.500   -8.793e-06    3.975e-08   -2.327e-06    7.001e-09    0
 15.000  40.000   0.400   -7.680e-06    3.760e-08   -2.120e-06    4.774e-09    0
 15.000  40.000   0.500   -7.589e-06    3.714e-08   -2.096e-06    4.715e-09    0
 15.000  50.000   0.500   -4.775e-06    3.352e-08   -1.269e-06    4.591e-09    0
 15.000  60.000   0.400   -1.608e-06    1.358e-08   -3.062e-07    1.418e-09    0
 15.000  60.000   0.500   -1.589e-06    1.338e-08   -3.024e-07    1.399e-09    0
 15.000  80.000   0.400   -1.292e-07    1.060e-09   -9.953e-09    4.636e-11    0
 15.000  80.000   0.500   -1.276e-07    1.038e-09   -9.824e-09    4.566e-11    0
  1.000   0.000   0.500   -3.436e-02    1.529e-04   -7.810e-02    2.150e-04    0
  1.000 100.000   0.400   -3.405e-08    2.380e-10   -1.077e-09    3.338e-12    0
  1.000 100.000   0.500   -3.362e-08    2.275e-10   -1.063e-09    3.281e-12    0
  1.000  20.000   0.500   -3.435e-02    1.529e-04   -7.806e-02    2.150e-04    0
