      L       W    Grid       Energy    EnergyErr        Force     ForceErr Status
 10.000   0.000   0.400   -1.532e-04    4.047e-14   -4.269e-05    0.000e+00    0
 10.000   0.000   0.500   -1.514e-04    2.005e-14   -4.220e-05    0.000e+00    0
 10.000 100.000   0.400   -5.071e-07    4.492e-14   -1.527e-08    0.000e+00    0
 10.000 100.000   0.500   -4.972e-07    2.431e-14   -1.505e-08    0.000e+00    0
 10.000  20.000   0.400   -1.526e-04    3.011e-14   -4.262e-05    0.000e+00    0
 10.000  20.000   0.500   -1.508e-04    2.351e-14   -4.213e-05    0.000e+00    0
 10.000  40.000   0.400   -1.444e-04    4.101e-14   -4.148e-05    0.000e+00    0
 10.000  40.000   0.500   -1.427e-04    2.076e-14   -4.101e-05    0.000e+00    0
 10.000  50.000   0.400   -1.008e-04    2.671e-14   -2.830e-05    0.000e+00    0
 10.000  50.000   0.500   -9.966e-05    2.613e-14   -2.797e-05    0.000e+00    0
 10.000  60.000   0.400   -2.995e-05    4.465e-14   -5.026e-06    0.000e+00    0
 10.000  60.000   0.500   -2.958e-05    2.374e-14   -4.962e-06    0.000e+00    0
 10.000  80.000   0.400   -2.582e-06    4.492e-14   -1.437e-07    0.000e+00    0
 10.000  80.000   0.500   -2.546e-06    2.431e-14   -1.417e-07    0.000e+00    0
 15.000   0.000   0.400   -4.732e-05    3.744e-14   -9.480e-06    0.000e+00    0
 15.000   0.000   0.500   -4.675e-05    2.160e-14   -9.367e-06    0.000e+00    0
 15.000 100.000   0.400   -4.260e-07    4.494e-14   -1.433e-08    0.000e+00    0
 15.000 100.000   0.500   -4.216e-07    2.460e-14   -1.413e-08    0.000e+00    0
 15.000  20.000   0.400   -4.695e-05    3.414e-14   -9.445e-06    0.000e+00    0
 15.000  20.000   0.500   -4.637e-05    2.636e-14   -9.334e-06    0.000e+00    0
 15.000  40.000   0.400   -4.274e-05    2.888e-14   -8.902e-06    0.000e+00    0
 15.000  40.000   0.500   -4.222e-05    2.806e-14   -8.797e-06    0.000e+00    0
 15.000  50.000   0.400   -3.093e-05    4.422e-14   -6.224e-06    0.000e+00    0
 15.000  50.000   0.500   -3.056e-05    2.400e-14   -6.150e-06    0.000e+00    0
 15.000  60.000   0.400   -1.366e-05    4.422e-14   -1.995e-06    0.000e+00    0
 15.000  60.000   0.500   -1.349e-05    2.400e-14   -1.970e-06    0.000e+00    0
 15.000  80.000   0.400   -1.920e-06    4.494e-14   -1.163e-07    0.000e+00    0
 15.000  80.000   0.500   -1.903e-06    2.460e-14   -1.147e-07    0.000e+00    0
  1.000   0.000   0.400   -3.583e-02    1.742e-09   -7.975e-02    1.306e-08    0
  1.000   0.000   0.500   -3.525e-02    2.426e-09   -7.800e-02    1.139e-08    0
  1.000 100.000   0.400   -6.344e-07    4.374e-14   -1.527e-08    0.000e+00    0
  1.000 100.000   0.500   -6.330e-07    2.412e-14   -1.505e-08    0.000e+00    0
  1.000  20.000   0.400   -3.584e-02    1.842e-09   -7.978e-02    1.223e-08    0
  1.000  20.000   0.500   -3.524e-02    4.358e-11   -7.796e-02    1.155e-08    0
  1.000  40.000   0.400   -3.581e-02    1.128e-09   -7.978e-02    1.220e-08    0
  1.000  40.000   0.500   -3.521e-02    4.331e-11   -7.796e-02    1.155e-08    0
