372,3722,3722
1081,3654,3654
1765,3452,3452
2397,3123,3123
2955,2680,2680
3419,2138,2138
3770,1518,1518
3998,842,842
4092,136,136
4050,-574,-574
3873,-1265,-1265
3568,-1909,-1909
3145,-2483,-2483
2621,-2966,-2966
2015,-3340,-3340
1347,-3592,-3592
645,-3712,-3712
-67,-3696,-3696
-763,-3545,-3545
-1418,-3263,-3263
-2007,-2862,-2862
-2509,-2356,-2356
-2906,-1764,-1764
-3182,-1107,-1107
-3327,-409,-409
-3338,303,303
-3212,1005,1005
-2955,1669,1669
-2575,2273,2273
-2088,2793,2793
-1511,3211,3211
-864,3511,3511
-172,3682,3682
539,3719,3719
1245,3619,3619
1918,3386,3386
2535,3029,3029
3073,2561,2561
3512,2000,2000
3835,1364,1364
4032,679,679
4095,-30,-30
4020,-739,-739
3813,-1421,-1421
3479,-2050,-2050
3031,-2605,-2605
2486,-3064,-3064
1863,-3411,-3411
1186,-3632,-3632
478,-3721,-3721
-232,-3673,-3673
-921,-3490,-3490
-1563,-3180,-3180
-2133,-2753,-2753
-2612,-2224,-2224
-2981,-1615,-1615
-3228,-946,-946
-3342,-243,-243
-3320,469,469
-3163,1164,1164
-2876,1817,1817
-2470,2403,2403
-1960,2901,2901
-1365,3292,3292
-705,3563,3563
-6,3703,3703
705,3707,3707
1406,3576,3576
2069,3313,3313
2669,2929,2929
3185,2438,2438
3598,1856,1856
3893,1207,1207
4059,514,514
4090,-197,-197
3984,-902,-902
3745,-1574,-1574
3384,-2188,-2188
2912,-2722,-2722
2346,-3156,-3156
1708,-3474,-3474
1022,-3665,-3665
311,-3722,-3722
-396,-3642,-3642
-1077,-3429,-3429
-1703,-3090,-3090
-2254,-2638,-2638
-2709,-2088,-2088
-3051,-1463,-1463
-3267,-783,-783
-3349,-75,-75
-3296,634,634
-3107,1322,1322
-2792,1961,1961
-2360,2528,2528
-1828,3002,3002
-1215,3366,3366
-544,3608,3608
159,3716,3716
872,3689,3689
1566,3526,3526
2215,3234,3234
2798,2823,2823
3292,2309,2309
3678,1710,1710
3944,1048,1048
4078,349,349
4077,-364,-364
3940,-1063,-1063
3671,-1723,-1723
3282,-2320,-2320
2787,-2833,-2833
2203,-3241,-3241
1551,-3531,-3531
857,-3690,-3690
144,-3715,-3715
-559,-3604,-3604
-1229,-3360,-3360
-1840,-2993,-2993
-2370,-2517,-2517
-2799,-1948,-1948
-3112,-1308,-1308
-3298,-619,-619
-3349,90,90
-3263,798,798
-3044,1476,1476
-2700,2101,2101
-2244,2648,2648
-1691,3098,3098
-1062,3435,3435
-382,3645,3645
326,3722,3722
1037,3662,3662
1722,3469,3469
2359,3148,3148
2922,2711,2711
3392,2175,2175
3752,1560,1560
3987,887,887
4090,182,182
4057,-529,-529
3888,-1222,-1222
3591,-1870,-1870
3176,-2449,-2449
2657,-2938,-2938
2055,-3320,-3320
1391,-3580,-3580
691,-3709,-3709
-21,-3701,-3701
-719,-3558,-3558
-1378,-3285,-3285
-1972,-2891,-2891
-2480,-2391,-2391
-2883,-1804,-1804
-3168,-1150,-1150
-3322,-454,-454
-3341,257,257
-3224,961,961
-2975,1628,1628
-2603,2236,2236
-2122,2763,2763
-1550,3187,3187
-907,3496,3496
-217,3675,3675
493,3720,3720
1200,3629,3629
1877,3405,3405
2498,3056,3056
3042,2594,2594
3487,2038,2038
3818,1407,1407
4024,724,724
4095,15,15
4029,-694,-694
3830,-1378,-1378
3504,-2012,-2012
3063,-2572,-2572
2523,-3038,-3038
1905,-3392,-3392
1230,-3622,-3622
524,-3719,-3719
-187,-3680,-3680
-878,-3506,-3506
-1523,-3203,-3203
-2099,-2783,-2783
-2584,-2261,-2261
-2961,-1656,-1656
-3216,-990,-990
-3339,-288,-288
-3326,423,423
-3177,1121,1121
-2898,1777,1777
-2500,2368,2368
-1996,2872,2872
-1405,3271,3271
-749,3549,3549
-52,3698,3698
660,3711,3711
1362,3588,3588
2028,3334,3334
2633,2957,2957
3155,2472,2472
3575,1896,1896
3878,1251,1251
4052,559,559
4091,-151,-151
3995,-857,-857
3765,-1532,-1532
3410,-2150,-2150
2945,-2690,-2690
2384,-3131,-3131
1751,-3457,-3457
1067,-3657,-3657
357,-3722,-3722
-351,-3651,-3651
-1034,-3446,-3446
-1665,-3115,-3115
-2222,-2669,-2669
-2683,-2126,-2126
-3032,-1505,-1505
-3257,-828,-828
-3348,-121,-121
-3303,589,589
-3123,1279,1279
-2815,1922,1922
-2390,2494,2494
-1865,2975,2975
-1256,3347,3347
-588,3596,3596
114,3713,3713
826,3695,3695
1522,3540,3540
2176,3256,3256
2763,2853,2853
3263,2344,2344
3657,1750,1750
3930,1092,1092
4074,394,394
4081,-318,-318
3952,-1019,-1019
3692,-1683,-1683
3311,-2284,-2284
2821,-2803,-2803
2242,-3218,-3218
1595,-3516,-3516
902,-3685,-3685
190,-3718,-3718
-514,-3615,-3615
-1187,-3380,-3380
-1803,-3020,-3020
-2339,-2550,-2550
-2775,-1987,-1987
-3096,-1351,-1351
-3290,-664,-664
-3350,45,45
-3273,753,753
-3062,1435,1435
-2726,2063,2063
-2276,2616,2616
-1729,3072,3072
-1105,3416,3416
-426,3636,3636
280,3721,3721
992,3671,3671
1680,3485,3485
2320,3172,3172
2889,2743,2743
3366,2212,2212
3732,1601,1601
3976,932,932
4088,228,228
4063,-484,-484
3903,-1178,-1178
3614,-1830,-1830
3205,-2414,-2414
2693,-2910,-2910
2096,-3299,-3299
1436,-3567,-3567
736,-3705,-3705
23,-3706,-3706
-676,-3571,-3571
-1337,-3306,-3306
-1936,-2920,-2920
-2450,-2426,-2426
-2861,-1844,-1844
-3153,-1193,-1193
-3316,-499,-499
-3344,212,212
-3236,916,916
-2995,1587,1587
-2630,2200,2200
-2156,2732,2732
-1589,3164,3164
-950,3480,3480
-262,3668,3668
448,3721,3721
1156,3639,3639
1835,3423,3423
2460,3081,3081
3009,2627,2627
3462,2076,2076
3801,1449,1449
4014,769,769
4094,60,60
4038,-649,-649
3846,-1336,-1336
